iter	Passed	Remaining
455	481	31173
456	483	31227
457	484	31224
458	485	31216
459	485	31197
460	486	31184
461	487	31180
462	488	31170
463	489	31164
464	490	31155
465	491	31168
466	492	31158
467	493	31158
468	494	31159
469	495	31161
470	497	31171
471	498	31163
472	499	31156
473	500	31161
474	501	31148
475	502	31140
476	503	31135
477	504	31134
478	505	31127
479	506	31126
480	507	31126
481	508	31134
482	509	31139
483	510	31152
484	512	31174
485	513	31188
486	514	31180
487	515	31174
488	516	31161
489	517	31156
490	518	31181
491	519	31178
492	520	31178
493	521	31170
494	522	31166
495	523	31158
496	524	31145
497	525	31134
498	527	31172
499	528	31158
500	529	31151
501	529	31140
502	530	31129
503	531	31119
504	532	31107
505	533	31098
506	534	31086
507	535	31084
508	536	31071
509	537	31062
510	538	31052
511	539	31047
512	540	31055
513	541	31073
514	542	31065
515	543	31069
516	544	31058
517	545	31049
518	546	31049
519	547	31043
520	548	31033
521	549	31030
522	550	31030
523	551	31031
524	552	31028
525	553	31026
526	554	31035
527	556	31047
528	557	31045
529	558	31044
530	559	31047
531	560	31046
532	561	31042
533	562	31030
534	563	31019
535	564	31019
536	565	31003
537	565	30986
538	566	30969
539	567	30953
540	568	30936
541	568	30922
542	571	30994
543	572	31003
544	574	31066
545	575	31067
546	576	31062
547	577	31060
548	578	31055
549	579	31051
550	580	31040
551	581	31034
552	582	31034
553	584	31040
554	585	31050
555	586	31039
556	587	31032
557	588	31030
558	588	31020
559	589	31007
560	590	30994
561	591	30980
562	592	30964
563	592	30946
564	593	30930
565	594	30911
566	595	30897
567	596	30893
568	597	30879
569	597	30864
570	598	30858
571	599	30860
572	600	30845
573	601	30832
574	602	30818
575	603	30804
576	603	30787
577	604	30775
578	605	30779
579	606	30771
580	607	30759
581	608	30747
582	609	30735
583	609	30722
584	610	30708
585	611	30692
586	612	30675
587	612	30660
588	614	30684
589	615	30677
590	616	30668
591	617	30655
592	617	30641
593	618	30626
594	619	30615
595	620	30600
596	620	30583
597	621	30570
598	622	30560
599	623	30551
600	624	30532
601	625	30522
602	625	30513
603	626	30503
604	627	30491
605	629	30535
606	630	30526
607	631	30533
608	632	30527
609	633	30527
610	634	30521
611	635	30509
612	636	30506
613	637	30494
614	637	30478
615	638	30463
616	639	30451
617	640	30442
618	641	30434
619	641	30422
620	643	30438
621	644	30435
622	645	30421
623	646	30413
624	646	30399
625	647	30387
626	648	30384
627	649	30375
628	650	30368
629	651	30364
630	652	30353
631	652	30338
632	653	30329
633	654	30318
634	655	30312
635	656	30309
636	657	30305
637	659	30329
638	659	30319
639	660	30308
640	661	30295
641	662	30281
642	662	30267
643	663	30254
644	664	30242
645	665	30227
646	666	30222
647	666	30211
648	667	30201
649	668	30202
650	669	30199
651	670	30182
652	671	30175
653	672	30186
654	673	30173
655	674	30162
656	675	30154
657	675	30144
658	677	30143
659	677	30138
660	678	30125
661	679	30111
662	680	30096
663	680	30085
664	681	30072
665	682	30061
666	683	30054
667	684	30057
668	685	30048
669	686	30051
670	687	30062
671	688	30065
672	689	30054
673	690	30041
674	692	30067
675	693	30099
676	694	30101
677	696	30100
678	696	30087
679	697	30077
680	698	30067
681	699	30055
682	700	30049
683	701	30061
684	702	30060
685	703	30069
686	704	30069
687	705	30068
688	707	30080
689	707	30074
690	709	30102
691	711	30115
692	712	30150
693	713	30146
694	714	30141
695	719	30284
696	720	30293
697	721	30291
698	722	30289
699	723	30289
700	725	30325
701	726	30336
702	728	30366
703	729	30365
704	732	30440
705	733	30449
706	741	30702
707	742	30720
708	743	30734
709	747	30837
710	749	30890
711	752	30945
712	754	30978
713	756	31045
714	758	31076
715	761	31129
716	763	31198
717	764	31197
718	766	31200
719	767	31192
720	767	31181
721	768	31173
722	769	31161
723	770	31153
724	771	31142
725	772	31136
726	773	31136
727	774	31137
728	777	31204
729	779	31239
730	780	31249
731	781	31251
732	782	31251
733	784	31261
734	785	31259
735	786	31262
736	787	31284
737	788	31272
738	790	31289
739	793	31362
740	794	31380
741	795	31375
742	796	31369
743	798	31403
744	800	31417
745	801	31435
746	802	31429
747	803	31431
748	807	31553
749	809	31552
750	810	31549
751	811	31545
752	812	31551
753	813	31555
754	814	31552
755	815	31562
756	817	31581
757	818	31578
758	821	31646
759	828	31877
760	840	32307
761	842	32335
762	844	32363
763	846	32391
764	848	32409
765	857	32713
766	858	32723
767	859	32730
768	893	33970
769	895	33987
770	896	33986
771	897	33996
772	900	34054
773	903	34108
774	904	34119
775	907	34180
776	911	34265
777	936	35188
778	939	35237
779	940	35236
780	951	35590
781	954	35671
782	956	35682
783	958	35735
784	960	35747
785	963	35819
786	964	35819
787	968	35903
788	974	36072
789	986	36469
790	992	36660
791	994	36659
792	996	36691
793	997	36687
794	998	36685
795	1000	36698
796	1001	36699
797	1006	36839
798	1007	36836
799	1008	36827
800	1011	36889
801	1014	36921
802	1015	36929
803	1019	37026
804	1020	37025
805	1021	37017
806	1023	37037
807	1025	37034
808	1028	37104
809	1029	37105
810	1034	37216
811	1035	37221
812	1036	37216
813	1037	37213
814	1041	37289
815	1043	37302
816	1044	37302
817	1046	37324
818	1050	37425
819	1053	37504
820	1055	37506
821	1056	37515
822	1058	37514
823	1061	37570
824	1062	37568
825	1063	37571
826	1064	37568
827	1066	37563
828	1067	37563
829	1068	37567
830	1070	37564
831	1071	37565
832	1072	37565
833	1075	37625
834	1083	37835
835	1084	37849
836	1086	37863
837	1088	37862
838	1089	37872
839	1092	37910
840	1093	37921
841	1094	37917
842	1096	37911
843	1097	37906
844	1098	37901
845	1100	37934
846	1102	37929
847	1103	37941
848	1106	37987
849	1107	37983
850	1108	37977
851	1109	37973
852	1111	37973
853	1112	37975
854	1114	37976
855	1115	37976
856	1116	37967
857	1117	37967
858	1119	37989
859	1121	37989
860	1122	37985
861	1123	37977
862	1124	37974
863	1127	38027
864	1129	38031
865	1130	38029
866	1131	38027
867	1133	38052
868	1139	38198
869	1143	38271
870	1144	38277
871	1145	38280
872	1147	38288
873	1149	38313
874	1151	38314
875	1152	38305
876	1153	38300
877	1155	38321
878	1156	38317
879	1157	38312
880	1158	38305
881	1160	38300
882	1164	38399
883	1165	38394
884	1167	38394
885	1169	38415
886	1170	38411
887	1171	38414
888	1172	38409
889	1174	38403
890	1175	38404
891	1176	38399
892	1178	38428
893	1180	38426
894	1181	38423
895	1183	38450
896	1185	38450
897	1186	38443
898	1187	38435
899	1189	38474
900	1191	38496
901	1194	38520
902	1195	38509
