iter	Logloss
0	0.6927724555
1	0.6922617517
2	0.6917528981
3	0.691407638
4	0.6909009247
5	0.6905748344
6	0.6902124021
7	0.6898877158
8	0.6894925692
9	0.6890933654
10	0.6887379517
11	0.6883380476
12	0.6879600958
13	0.6874613988
14	0.6871117761
15	0.6866142754
16	0.6861180499
17	0.6858009341
18	0.6854401036
19	0.6849474152
20	0.6844560299
21	0.684082739
22	0.6836912786
23	0.6832030056
24	0.6828912128
25	0.6824049901
26	0.6820221619
27	0.6816352895
28	0.6811520708
29	0.6807663368
30	0.6802853333
31	0.6799787996
32	0.6796691472
33	0.6792867702
34	0.6789053152
35	0.6785144901
36	0.6781982841
37	0.6777218099
38	0.6773613756
39	0.6770604089
40	0.6766285451
41	0.6762441688
42	0.6757725713
43	0.6754194045
44	0.6751220207
45	0.6746544689
46	0.6743455188
47	0.673879951
48	0.6735215751
49	0.6732106383
50	0.6728810862
51	0.6724190174
52	0.6719563349
53	0.6716287241
54	0.6711696789
55	0.6708065834
56	0.6704557574
57	0.6701617185
58	0.669803742
59	0.6693491865
60	0.6688958468
61	0.6685596888
62	0.6682579798
63	0.6679308096
64	0.6675959631
65	0.6672642487
66	0.6669068858
67	0.6664573548
68	0.6660109263
69	0.6656968455
70	0.6652522952
71	0.6648065859
72	0.6643642727
73	0.6639231464
74	0.6634832041
75	0.663044443
76	0.6626961695
77	0.6623466002
78	0.6620044243
79	0.6617145596
80	0.6614253182
81	0.6610918841
82	0.6606561368
83	0.6603176737
84	0.6598836903
85	0.659614451
86	0.6593291988
87	0.6590560548
88	0.6586662781
89	0.6582363689
90	0.657920251
91	0.657494686
92	0.6570702681
93	0.6567437297
94	0.6564057736
95	0.6559812543
96	0.655560504
97	0.6551408892
98	0.6548062356
99	0.6543855896
100	0.6540851052
101	0.6537544795
102	0.6534648362
103	0.6530501615
104	0.6527931767
105	0.652380255
106	0.6520505654
107	0.6517536273
108	0.6514455656
109	0.6511556881
110	0.6509022622
111	0.6505482703
112	0.6502224119
113	0.6499238123
114	0.6496104892
115	0.6492969868
116	0.6490437965
117	0.6487586098
118	0.648352269
119	0.648037201
120	0.6476324924
121	0.6473261104
122	0.6470635051
123	0.6467527375
124	0.6464784918
125	0.6461688196
126	0.6458749149
127	0.6456183403
128	0.6453570555
129	0.6450696769
130	0.6447687786
131	0.6443718395
132	0.6439788193
133	0.6436655864
134	0.6434204822
135	0.643026832
136	0.6426370823
137	0.6423100011
138	0.6420154216
139	0.6417148101
140	0.6414376383
141	0.64113632
142	0.6407482189
143	0.6403611398
144	0.6400605802
145	0.6398014829
146	0.6394196814
147	0.6391258588
148	0.6388610487
149	0.638629319
150	0.6382473502
151	0.6379452027
152	0.6376851162
153	0.6373883666
154	0.6371601108
155	0.6369025514
156	0.6365275781
157	0.6361536291
158	0.6358555659
159	0.6355539883
160	0.635179187
161	0.6348830154
162	0.6345129223
163	0.6341438412
164	0.6339212212
165	0.6336275589
166	0.6333345762
167	0.6329682962
168	0.6326972475
169	0.6324772525
170	0.6322418964
171	0.631874976
172	0.6315123319
173	0.6312234939
174	0.6308624528
175	0.6305749269
176	0.6302880668
177	0.6300297736
178	0.6297395743
179	0.629463092
180	0.6292089006
181	0.6289247713
182	0.6286690485
183	0.6283102915
184	0.6279524851
185	0.627595627
186	0.6273251796
187	0.6270988915
188	0.6268188138
189	0.6265486516
190	0.6263111084
191	0.6259581351
192	0.6256890737
193	0.6253407199
194	0.6251220735
195	0.62484183
196	0.6244923925
